DRAM 4.269999999451102E-4 702 7
DRAM 3.660000002128072E-4 1839 27
DRAM 5.490000003192108E-4 2902 43
DRAM 4.8799999967741314E-4 905 13
DRAM 9.149999996225233E-4 1928 30
DRAM 3.660000002128072E-4 2912 50
DRAM 3.0499999957100954E-4 1889 34
DRAM 4.269999999451102E-4 1961 35
DRAM 5.490000003192108E-4 1958 33
DRAM 4.890000000159489E-4 912 17
DRAM 4.269999999451102E-4 881 18
DRAM 4.8799999967741314E-4 952 18
DRAM 3.660000002128072E-4 3915 82
DRAM 3.0500000048050424E-4 3902 81
DRAM 3.659999993033125E-4 955 19
DRAM 3.660000002128072E-4 7934 172
DRAM 4.269999999451102E-4 919 18
DRAM 5.490000003192108E-4 915 17
DRAM 3.059999999095453E-4 946 19
DRAM 3.659999993033125E-4 2962 60
DRAM 3.6699999964184826E-4 1914 41
DRAM 3.059999999095453E-4 4965 102
DRAM 3.659999993033125E-4 1974 42
DRAM 3.6699999964184826E-4 2881 61
DRAM 3.0499999957100954E-4 6960 154
DRAM 3.660000002128072E-4 979 19
DRAM 3.0500000048050424E-4 927 20
DRAM 3.6699999964184826E-4 971 21
DRAM 4.269999999451102E-4 1937 46
DRAM 4.269999999451102E-4 911 34
DRAM 3.659999993033125E-4 2934 117
DRAM 3.660000002128072E-4 1947 75
DRAM 4.269999999451102E-4 1966 78
DRAM 3.0500000048050424E-4 941 37
DRAM 3.659999993033125E-4 965 38
DRAM 3.0500000048050424E-4 945 37
DRAM 3.6699999964184826E-4 950 37
DRAM 2.4399999983870657E-4 1927 77
DRAM 3.660000002128072E-4 1962 78
DRAM 7.939999995869584E-4 916 34
DRAM 3.0499999957100954E-4 3939 156
DRAM 4.269999999451102E-4 916 34
DRAM 4.269999999451102E-4 961 38
DRAM 3.059999999095453E-4 1973 79
DRAM 3.0500000048050424E-4 1913 77
DRAM 3.660000002128072E-4 1957 75
DRAM 3.6700000055134296E-4 927 35
DRAM 4.269999999451102E-4 958 37
DRAM 3.660000002128072E-4 1945 78
DRAM 3.0500000048050424E-4 951 38
DRAM 4.269999999451102E-4 7969 323
DRAM 3.659999993033125E-4 2899 102
DRAM 4.269999999451102E-4 2924 117
DRAM 4.890000000159489E-4 2951 119
DRAM 5.490000003192108E-4 961 26
DRAM 3.0499999957100954E-4 6946 283
DRAM 3.6700000055134296E-4 917 36
DRAM 3.659999993033125E-4 1961 79
DRAM 3.660000002128072E-4 942 37
DRAM 3.660000002128072E-4 983 37
DRAM 4.269999999451102E-4 1916 76
DRAM 4.8800000058690784E-4 3979 153
DRAM 5.499999997482519E-4 5889 192
DRAM 7.319999995161197E-4 826 26
DRAM 4.890000000159489E-4 1931 73
DRAM 6.709999997838167E-4 1747 66
DRAM 5.499999997482519E-4 893 34
DRAM 4.8799999967741314E-4 1953 76
DRAM 7.319999995161197E-4 2946 115
DRAM 6.720000001223525E-4 2912 83
DRAM 5.490000003192108E-4 3912 125
DRAM 6.110000003900495E-4 883 35
DRAM 4.8800000058690784E-4 2981 120
DRAM 3.6699999964184826E-4 929 38
DRAM 4.8799999967741314E-4 972 38
DRAM 4.890000000159489E-4 1911 68
DRAM 4.269999999451102E-4 971 37
DRAM 3.660000002128072E-4 932 37
DRAM 3.660000002128072E-4 1954 79
DRAM 3.059999999095453E-4 954 38
DRAM 4.269999999451102E-4 962 38
DRAM 4.2800000028364593E-4 3000 122
DRAM 3.6700000055134296E-4 3942 160
DRAM 6.100000000515138E-4 893 24
DRAM 3.659999993033125E-4 1937 76
DRAM 3.660000002128072E-4 1943 77
DRAM 3.659999993033125E-4 922 31
DRAM 4.2800000028364593E-4 2948 119
DRAM 3.0500000048050424E-4 1931 83
DRAM 3.660000002128072E-4 994 42
DRAM 3.0499999957100954E-4 927 37
DRAM 5.490000003192108E-4 2955 120
DRAM 3.6699999964184826E-4 1930 66
DRAM 3.660000002128072E-4 1989 79
DRAM 3.6699999964184826E-4 1919 79
DRAM 3.660000002128072E-4 934 35
DRAM 3.0499999957100954E-4 971 41
DRAM 3.660000002128072E-4 940 38
DRAM 3.0499999957100954E-4 5958 256
DRAM 3.660000002128072E-4 970 41
DRAM 3.6699999964184826E-4 954 34
DRAM 3.0500000048050424E-4 943 40
DRAM 4.269999999451102E-4 993 42
DRAM 3.0499999957100954E-4 928 39
DRAM 3.0499999957100954E-4 1986 83
DRAM 3.660000002128072E-4 951 37
DRAM 3.660000002128072E-4 4960 210
DRAM 3.0499999957100954E-4 1955 82
DRAM 3.660000002128072E-4 951 40
DRAM 7.929999992484227E-4 2937 114
DRAM 4.269999999451102E-4 4963 171
DRAM 4.269999999451102E-4 904 37
DRAM 3.660000002128072E-4 2916 122
DRAM 3.660000002128072E-4 3969 162
DRAM 3.6700000055134296E-4 2951 123
DRAM 4.269999999451102E-4 1960 80
DRAM 4.269999999451102E-4 2942 118
DRAM 3.0499999957100954E-4 933 38
DRAM 3.059999999095453E-4 2937 123
DRAM 3.659999993033125E-4 2995 121
DRAM 3.660000002128072E-4 5955 243
DRAM 3.660000002128072E-4 1915 72
DRAM 3.0499999957100954E-4 918 38
DRAM 3.6700000055134296E-4 1968 76
DRAM 3.660000002128072E-4 945 37
DRAM 3.0499999957100954E-4 925 38
DRAM 4.269999999451102E-4 963 34
DRAM 4.269999999451102E-4 792 22
DRAM 3.0499999957100954E-4 1932 77
DRAM 4.269999999451102E-4 949 39
DRAM 2.4399999983870657E-4 2960 118
DRAM 3.660000002128072E-4 930 38
DRAM 3.660000002128072E-4 1995 83
