3.0499999957100954E-4 66484222991 4
3.0499999957100954E-4 528 1
3.0499999957100954E-4 737 3
3.059999999095453E-4 708 3
2.4400000074820127E-4 5813 34
2.449999992677476E-4 693 3
2.4400000074820127E-4 673 2
3.0500000138999894E-4 2844 15
2.4399999892921187E-4 670 3
2.449999992677476E-4 1703 9
3.0499999957100954E-4 3775 22
2.4500000108673703E-4 2705 16
3.0499999957100954E-4 781 4
2.4400000074820127E-4 774 4
2.4400000074820127E-4 1708 10
3.059999999095453E-4 2792 17
2.4400000074820127E-4 778 4
2.4399999892921187E-4 759 4
2.4400000074820127E-4 785 4
3.0499999957100954E-4 1732 10
3.059999999095453E-4 769 4
2.4400000074820127E-4 776 4
3.0499999957100954E-4 778 4
2.4399999892921187E-4 1725 12
2.4399999892921187E-4 4887 30
2.4399999892921187E-4 5452 39
2.4400000074820127E-4 649 4
2.4399999892921187E-4 1787 13
2.4400000074820127E-4 752 5
3.0499999957100954E-4 2553 15
2.4400000074820127E-4 655 4
2.4399999892921187E-4 705 4
2.4400000074820127E-4 856 5
2.449999992677476E-4 1605 11
2.4400000074820127E-4 745 5
3.0499999957100954E-4 818 6
2.4400000074820127E-4 708 5
2.449999992677476E-4 2770 22
2.4399999892921187E-4 2676 22
2.4400000074820127E-4 2746 22
2.449999992677476E-4 719 5
2.4400000074820127E-4 806 6
3.0499999957100954E-4 713 5
2.4400000074820127E-4 1744 14
3.0499999957100954E-4 809 6
2.4400000074820127E-4 689 5
2.4400000074820127E-4 2797 25
2.4400000074820127E-4 659 5
2.4400000074820127E-4 1768 16
2.4399999892921187E-4 833 7
3.059999999095453E-4 523 3
2.4399999892921187E-4 2708 24
3.0499999957100954E-4 627 5
2.449999992677476E-4 1833 17
2.4400000074820127E-4 715 6
3.0499999957100954E-4 802 7
2.4400000074820127E-4 2844 28
2.4400000074820127E-4 715 6
2.4400000074820127E-4 1866 18
2.4399999892921187E-4 797 7
3.0499999957100954E-4 634 5
2.4400000074820127E-4 803 7
3.0499999957100954E-4 1879 17
3.059999999095453E-4 677 5
2.4399999892921187E-4 9829 97
2.449999992677476E-4 3601 35
2.4400000074820127E-4 796 7
2.4400000074820127E-4 764 6
3.0499999957100954E-4 855 7
2.4400000074820127E-4 1837 18
2.4400000074820127E-4 1475 14
2.4399999892921187E-4 852 8
2.4399999892921187E-4 1702 17
2.4400000074820127E-4 1884 19
2.4400000074820127E-4 1769 17
3.0499999957100954E-4 535 4
2.4400000074820127E-4 2778 27
3.059999999095453E-4 799 7
2.4399999892921187E-4 800 7
2.4399999892921187E-4 1740 17
2.4400000074820127E-4 853 8
2.4399999892921187E-4 3865 39
2.4399999892921187E-4 3879 39
2.4399999892921187E-4 4824 48
3.0499999957100954E-4 641 5
2.4400000074820127E-4 914 8
2.449999992677476E-4 798 7
2.4400000074820127E-4 1743 17
2.4400000074820127E-4 1780 18
2.4400000074820127E-4 1769 17
2.4399999892921187E-4 2842 27
2.4400000074820127E-4 1794 18
2.4400000074820127E-4 1806 17
2.449999992677476E-4 794 7
2.4399999892921187E-4 1814 18
3.0500000138999894E-4 706 6
2.4400000074820127E-4 1775 17
3.059999999095453E-4 1810 17
2.4400000074820127E-4 789 7
2.4400000074820127E-4 2850 28
2.4399999892921187E-4 678 6
2.449999992677476E-4 1905 19
2.4400000074820127E-4 810 7
2.4399999892921187E-4 1882 19
2.449999992677476E-4 3820 38
2.4400000074820127E-4 2809 28
2.4399999892921187E-4 1882 19
2.4400000074820127E-4 2750 28
2.4399999892921187E-4 842 8
2.4400000074820127E-4 1861 15
2.4400000074820127E-4 1749 17
2.4400000074820127E-4 7761 52
6.099999991420191E-4 1605 15
4.270000008546049E-4 1793 17
6.109999994805548E-4 1798 17
5.490000003192108E-4 868 6
2.4399999892921187E-4 3837 39
2.4399999892921187E-4 3736 38
2.4400000074820127E-4 769 7
2.4400000074820127E-4 1691 17
2.4400000074820127E-4 1869 19
2.4400000074820127E-4 3744 37
2.4399999892921187E-4 3583 37
2.4399999892921187E-4 2618 26
3.0500000138999894E-4 788 7
3.059999999095453E-4 807 7
2.4399999892921187E-4 792 7
2.4400000074820127E-4 2804 27
2.4400000074820127E-4 788 7
2.4400000074820127E-4 1884 17
3.0499999957100954E-4 1755 17
3.0500000138999894E-4 790 7
2.4399999892921187E-4 1875 17
2.4400000074820127E-4 2831 24
2.4399999892921187E-4 2700 24
2.4400000074820127E-4 863 7
2.4400000074820127E-4 3719 36
2.4400000074820127E-4 1703 17
2.4400000074820127E-4 934 9
2.4400000074820127E-4 3878 39
2.4399999892921187E-4 849 5
2.4400000074820127E-4 5615 58
2.4399999892921187E-4 854 8
2.4400000074820127E-4 860 8
2.4399999892921187E-4 862 8
2.4399999892921187E-4 1877 19
2.4400000074820127E-4 936 9
2.4399999892921187E-4 1785 17
2.4399999892921187E-4 1846 18
2.4500000108673703E-4 705 6
2.4400000074820127E-4 2899 29
2.4399999892921187E-4 800 7
2.4400000074820127E-4 883 8
2.4399999892921187E-4 878 8
2.4400000074820127E-4 2894 27
2.4400000074820127E-4 1852 17
2.4399999892921187E-4 789 7
2.4400000074820127E-4 788 7
2.449999992677476E-4 871 8
2.4400000074820127E-4 2786 26
2.4400000074820127E-4 755 7
2.4399999892921187E-4 880 8
2.4400000074820127E-4 2810 29
2.4399999892921187E-4 880 8
2.4400000074820127E-4 781 7
1.830000001064036E-4 2879 30
2.4500000108673703E-4 770 7
2.4399999892921187E-4 877 8
2.4399999892921187E-4 3882 40
2.4400000074820127E-4 845 8
