DRAM 3.049999997983832E-4 195 0
DRAM 2.4400000006608025E-4 956 9
DRAM 0.0010990000000674627 4848 1
DRAM 3.050000000257569E-4 93 0
DRAM 2.4400000006608025E-4 1008 10
DRAM 2.4399999983870657E-4 1022 10
DRAM 2.4499999994986865E-4 1022 10
DRAM 2.4400000006608025E-4 1021 10
DRAM 0.005675999999994019 17257 2
DRAM 2.4400000006608025E-4 716 7
DRAM 3.050000000257569E-4 973 10
DRAM 3.050000000257569E-4 966 10
DRAM 2.4499999994986865E-4 1040 11
DRAM 2.4400000006608025E-4 955 10
DRAM 3.049999997983832E-4 1039 11
DRAM 0.002624000000196247 8747 4
DRAM 4.279999998288986E-4 257 2
DRAM 6.710000000111904E-4 2026 8
DRAM 2.4400000006608025E-4 964 8
DRAM 2.4400000006608025E-4 997 10
DRAM 9.159999999610591E-4 3831 3
DRAM 3.050000000257569E-4 219 1
DRAM 2.4399999983870657E-4 972 12
DRAM 2.4400000006608025E-4 981 12
DRAM 2.4400000006608025E-4 975 12
DRAM 2.4499999994986865E-4 1025 12
DRAM 2.4400000006608025E-4 983 12
DRAM 0.002989999999954307 10736 11
DRAM 3.059999999095453E-4 282 2
DRAM 2.4400000006608025E-4 994 11
DRAM 3.050000000257569E-4 1028 13
DRAM 2.4400000006608025E-4 978 13
DRAM 2.4399999983870657E-4 964 12
DRAM 2.4400000006608025E-4 1005 13
DRAM 2.4499999994986865E-4 1035 14
DRAM 0.002380000000130167 9570 8
DRAM 3.050000000257569E-4 444 4
DRAM 2.4399999983870657E-4 937 13
DRAM 2.4400000006608025E-4 1091 15
DRAM 2.4400000006608025E-4 901 12
DRAM 3.059999999095453E-4 1074 14
DRAM 2.4400000006608025E-4 979 14
DRAM 2.4400000006608025E-4 980 14
DRAM 2.4399999983870657E-4 992 14
DRAM 0.0021970000000237633 8825 6
DRAM 3.0600000013691897E-4 205 2
DRAM 2.4399999983870657E-4 958 14
DRAM 2.4400000006608025E-4 1046 16
DRAM 2.4400000006608025E-4 968 15
DRAM 3.050000000257569E-4 1073 5
DRAM 2.4399999983870657E-4 905 14
DRAM 2.4400000006608025E-4 1017 15
DRAM 2.4499999994986865E-4 980 15
DRAM 2.4400000006608025E-4 1053 16
DRAM 2.4400000006608025E-4 971 15
DRAM 2.4399999983870657E-4 1028 16
DRAM 2.4400000006608025E-4 963 15
DRAM 0.00225799999998344 8702 6
DRAM 3.670000000965956E-4 334 3
DRAM 3.050000000257569E-4 959 10
DRAM 2.4399999983870657E-4 1043 17
DRAM 2.4400000006608025E-4 991 16
DRAM 0.003173999999944499 10112 1
DRAM 3.050000000257569E-4 849 13
DRAM 2.4400000006608025E-4 973 16
DRAM 2.4400000006608025E-4 1037 16
DRAM 3.059999999095453E-4 1001 16
DRAM 2.4400000006608025E-4 1020 16
DRAM 3.050000000257569E-4 990 14
DRAM 2.4399999983870657E-4 1012 14
DRAM 2.4400000006608025E-4 966 16
DRAM 2.4400000006608025E-4 1010 17
DRAM 2.4399999983870657E-4 1008 17
DRAM 0.0028690000001461158 8707 7
DRAM 3.6599999998543353E-4 272 4
DRAM 2.4400000006608025E-4 1022 18
DRAM 2.4499999994986865E-4 1009 17
DRAM 2.4400000006608025E-4 1016 18
DRAM 0.0014649999998255225 4580 7
DRAM 3.050000000257569E-4 393 6
DRAM 2.4400000006608025E-4 1003 19
DRAM 2.4400000006608025E-4 1009 19
DRAM 2.4399999983870657E-4 990 19
DRAM 2.4400000006608025E-4 999 19
DRAM 2.4400000006608025E-4 1011 19
DRAM 2.4499999994986865E-4 1000 19
DRAM 2.4400000006608025E-4 1025 19
DRAM 0.0029289999999946303 8585 7
DRAM 3.059999999095453E-4 384 6
DRAM 2.4400000006608025E-4 991 19
DRAM 2.4400000006608025E-4 1034 20
DRAM 2.4399999983870657E-4 952 18
DRAM 0.0014650000000528962 4733 8
DRAM 3.050000000257569E-4 269 3
DRAM 2.4400000006608025E-4 985 19
DRAM 2.4399999983870657E-4 1034 20
DRAM 2.4400000006608025E-4 989 19
DRAM 2.4499999994986865E-4 996 19
DRAM 2.4400000006608025E-4 979 19
DRAM 2.4400000006608025E-4 1044 20
DRAM 2.4399999983870657E-4 982 19
DRAM 0.0028690000001461158 8672 8
DRAM 3.050000000257569E-4 318 5
DRAM 2.4399999983870657E-4 1006 19
DRAM 2.4400000006608025E-4 1026 20
DRAM 2.4400000006608025E-4 947 18
DRAM 0.001403999999865846 4695 9
DRAM 3.050000000257569E-4 315 5
DRAM 2.4400000006608025E-4 1048 19
DRAM 2.4400000006608025E-4 992 19
DRAM 2.4499999994986865E-4 986 19
DRAM 2.4400000006608025E-4 998 19
DRAM 2.4399999983870657E-4 977 18
DRAM 2.4400000006608025E-4 1031 20
DRAM 2.4400000006608025E-4 981 19
DRAM 0.0026859999998123385 8665 8
DRAM 3.050000000257569E-4 320 5
DRAM 2.4400000006608025E-4 1034 20
DRAM 2.4400000006608025E-4 992 19
DRAM 2.4400000006608025E-4 986 19
DRAM 0.0011599999997997656 4603 8
DRAM 3.050000000257569E-4 404 6
DRAM 2.4400000006608025E-4 994 19
DRAM 3.059999999095453E-4 1025 18
DRAM 2.4400000006608025E-4 974 18
DRAM 2.4400000006608025E-4 999 19
DRAM 2.4400000006608025E-4 979 19
DRAM 2.4399999983870657E-4 1040 20
DRAM 2.4400000006608025E-4 983 19
DRAM 0.002441999999973632 8621 8
DRAM 3.050000000257569E-4 394 6
DRAM 2.4400000006608025E-4 997 19
DRAM 2.4399999983870657E-4 999 19
