4.879999999047868E-4 265 0
6.100000000515138E-4 128 0
4.880000001321605E-4 3935 61
7.940000000417058E-4 3878 65
3.6599999998543353E-4 1928 33
3.660000002128072E-4 2898 49
3.6599999998543353E-4 1957 37
3.6699999986922194E-4 885 15
4.880000001321605E-4 1966 33
5.489999998644635E-4 831 10
6.110000001626759E-4 914 9
8.54000000117594E-4 2863 36
3.6599999998543353E-4 1849 29
3.670000000965956E-4 2869 46
4.879999999047868E-4 886 13
3.6599999998543353E-4 909 14
4.880000001321605E-4 919 14
3.6699999986922194E-4 817 12
4.269999999451102E-4 6884 125
3.050000000257569E-4 2922 65
3.6599999998543353E-4 947 19
4.890000000159489E-4 1926 31
3.6599999998543353E-4 2908 49
4.269999999451102E-4 2945 61
4.269999999451102E-4 894 16
3.6599999998543353E-4 937 19
4.890000000159489E-4 973 20
4.2700000017248385E-4 973 20
4.269999999451102E-4 931 18
3.6599999998543353E-4 957 21
3.049999997983832E-4 1940 44
3.6599999998543353E-4 1938 42
4.269999999451102E-4 934 19
3.050000000257569E-4 2927 65
3.6599999998543353E-4 969 21
3.6699999986922194E-4 972 21
3.050000000257569E-4 3951 88
3.670000000965956E-4 947 19
3.050000000257569E-4 950 21
3.6599999998543353E-4 952 21
4.269999999451102E-4 912 20
3.0600000013691897E-4 1986 45
3.050000000257569E-4 2894 62
3.6599999998543353E-4 960 18
3.050000000257569E-4 6950 155
3.050000000257569E-4 1956 41
3.6599999998543353E-4 925 20
3.049999997983832E-4 1944 42
3.6599999998543353E-4 1982 43
3.6599999998543353E-4 933 19
3.050000000257569E-4 1970 44
4.269999999451102E-4 921 20
3.050000000257569E-4 936 19
3.6599999998543353E-4 963 21
3.6599999998543353E-4 1960 43
5.489999998644635E-4 935 13
5.490000000918371E-4 954 15
4.2800000005627226E-4 930 15
4.269999999451102E-4 1895 34
3.050000000257569E-4 933 19
3.059999999095453E-4 925 20
4.2700000017248385E-4 972 20
0.0011600000000271393 1923 40
0.0010980000001836743 900 16
4.2700000017248385E-4 2845 59
4.2700000017248385E-4 1988 43
4.269999999451102E-4 918 16
3.050000000257569E-4 968 21
3.050000000257569E-4 1976 43
4.880000001321605E-4 901 18
3.050000000257569E-4 1966 43
3.6699999986922194E-4 953 21
3.6599999998543353E-4 959 21
3.050000000257569E-4 926 19
3.6599999998543353E-4 1997 45
3.670000000965956E-4 944 18
4.879999999047868E-4 912 15
3.050000000257569E-4 940 19
3.6599999998543353E-4 1933 40
3.0600000013691897E-4 1006 22
3.6599999998543353E-4 961 21
3.050000000257569E-4 919 20
3.6599999998543353E-4 982 19
3.050000000257569E-4 1930 42
3.6599999998543353E-4 2963 63
4.879999999047868E-4 1878 29
4.269999999451102E-4 1915 30
4.2700000017248385E-4 1906 31
4.269999999451102E-4 937 13
5.490000000918371E-4 916 14
3.6699999986922194E-4 904 14
3.6599999998543353E-4 4926 82
5.500000002029992E-4 2958 50
4.879999999047868E-4 894 14
3.6599999998543353E-4 1883 29
4.269999999451102E-4 1942 32
3.670000000965956E-4 2872 49
3.6599999998543353E-4 931 16
3.6599999998543353E-4 1962 32
3.6599999998543353E-4 924 15
4.890000000159489E-4 927 15
3.6599999998543353E-4 1967 44
5.490000000918371E-4 945 21
3.059999999095453E-4 4925 108
4.2700000017248385E-4 950 20
4.879999999047868E-4 960 21
3.050000000257569E-4 931 21
3.6599999998543353E-4 973 22
4.269999999451102E-4 1970 41
4.2800000005627226E-4 1916 44
3.6599999998543353E-4 2958 67
4.269999999451102E-4 1978 44
3.6599999998543353E-4 4924 111
3.6599999998543353E-4 935 21
4.269999999451102E-4 983 22
3.6599999998543353E-4 952 19
3.0600000013691897E-4 931 21
3.6599999998543353E-4 1956 45
3.050000000257569E-4 4933 111
3.050000000257569E-4 1937 45
4.879999999047868E-4 1921 29
4.880000001321605E-4 3878 58
4.889999997885752E-4 903 11
4.2700000017248385E-4 921 13
4.880000001321605E-4 1944 26
4.879999999047868E-4 2877 44
5.499999999756255E-4 3887 61
4.2800000005627226E-4 2716 38
4.880000001321605E-4 801 10
4.269999999451102E-4 954 12
4.269999999451102E-4 940 14
5.499999999756255E-4 916 13
6.100000000515138E-4 964 14
6.710000000111904E-4 886 10
4.890000000159489E-4 883 14
4.879999999047868E-4 960 15
5.500000002029992E-4 1894 30
4.269999999451102E-4 881 14
5.490000000918371E-4 4924 83
5.499999999756255E-4 939 15
6.100000000515138E-4 952 12
4.269999999451102E-4 2941 50
4.880000001321605E-4 944 15
4.269999999451102E-4 943 15
4.269999999451102E-4 1893 31
4.2800000005627226E-4 2951 40
4.269999999451102E-4 2894 46
3.6599999998543353E-4 3916 65
3.6599999998543353E-4 2918 49
4.269999999451102E-4 1916 33
4.269999999451102E-4 1948 51
3.6599999998543353E-4 1963 78
3.6599999998543353E-4 934 36
7.940000000417058E-4 925 37
5.490000000918371E-4 2927 110
3.6599999998543353E-4 1933 78
3.050000000257569E-4 1931 82
3.6599999998543353E-4 1973 83
3.059999999095453E-4 1953 83
3.050000000257569E-4 2948 125
3.6599999998543353E-4 976 41
3.6699999986922194E-4 990 41
3.050000000257569E-4 1934 82
3.0600000013691897E-4 2973 127
3.6599999998543353E-4 2952 126
3.050000000257569E-4 978 41
3.6699999986922194E-4 1001 42
3.050000000257569E-4 937 39
6.100000000515138E-4 968 31
3.050000000257569E-4 948 39
4.2800000005627226E-4 932 39
3.660000002128072E-4 1961 83
3.0600000013691897E-4 3002 128
3.6599999998543353E-4 1942 82
5.490000000918371E-4 959 40
3.050000000257569E-4 1979 83
