dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
52665.332031,0.000000,108471.773438,21039.212891,0.000000,205653.250000,1624605563150900
52665.335938,0.000000,108471.789062,21039.214844,0.000000,205653.265625,1624605563152088
52665.339844,0.000000,108471.804688,21039.216797,0.000000,205653.281250,1624605563153276
52665.339844,0.000000,108471.812500,21039.218750,0.000000,205653.296875,1624605563154465
52665.339844,0.000000,108471.820312,21039.220703,0.000000,205653.312500,1624605563155653
52665.343750,0.000000,108471.828125,21039.222656,0.000000,205653.343750,1624605563156808
52665.347656,0.000000,108471.835938,21039.224609,0.000000,205653.359375,1624605563157996
52665.347656,0.000000,108471.859375,21039.226562,0.000000,205653.375000,1624605563159182
52665.347656,0.000000,108471.867188,21039.228516,0.000000,205653.390625,1624605563160368
52665.347656,0.000000,108471.875000,21039.230469,0.000000,205653.406250,1624605563161556
52665.351562,0.000000,108471.882812,21039.232422,0.000000,205653.421875,1624605563162734
52665.351562,0.000000,108471.890625,21039.236328,0.000000,205653.453125,1624605563163920
52665.355469,0.000000,108471.906250,21039.238281,0.000000,205653.468750,1624605563165119
52665.359375,0.000000,108471.914062,21039.238281,0.000000,205653.484375,1624605563166306
52665.359375,0.000000,108471.929688,21039.240234,0.000000,205653.500000,1624605563167492
52665.359375,0.000000,108471.937500,21039.242188,0.000000,205653.515625,1624605563168679
52665.363281,0.000000,108471.945312,21039.246094,0.000000,205653.546875,1624605563169875
52665.367188,0.000000,108471.960938,21039.248047,0.000000,205653.562500,1624605563171062
52665.367188,0.000000,108471.968750,21039.250000,0.000000,205653.578125,1624605563172253
52665.367188,0.000000,108471.984375,21039.251953,0.000000,205653.593750,1624605563173440
52665.371094,0.000000,108471.992188,21039.253906,0.000000,205653.609375,1624605563174624
52665.371094,0.000000,108472.000000,21039.255859,0.000000,205653.625000,1624605563175817
52665.371094,0.000000,108472.007812,21039.257812,0.000000,205653.656250,1624605563177003
52665.371094,0.000000,108472.023438,21039.259766,0.000000,205653.671875,1624605563178190
52665.375000,0.000000,108472.039062,21039.261719,0.000000,205653.687500,1624605563179377
52665.375000,0.000000,108472.046875,21039.263672,0.000000,205653.703125,1624605563180569
52665.375000,0.000000,108472.054688,21039.265625,0.000000,205653.718750,1624605563181752
52665.375000,0.000000,108472.062500,21039.267578,0.000000,205653.765625,1624605563182939
52665.375000,0.000000,108472.078125,21039.269531,0.000000,205653.781250,1624605563184126
52665.375000,0.000000,108472.085938,21039.271484,0.000000,205653.796875,1624605563185316
52665.375000,0.000000,108472.101562,21039.273438,0.000000,205653.812500,1624605563186509
52665.375000,0.000000,108472.109375,21039.273438,0.000000,205653.828125,1624605563187697
52665.375000,0.000000,108472.117188,21039.275391,0.000000,205653.843750,1624605563188883
52665.375000,0.000000,108472.125000,21039.279297,0.000000,205653.875000,1624605563190075
52665.375000,0.000000,108472.140625,21039.281250,0.000000,205653.890625,1624605563191263
52665.375000,0.000000,108472.148438,21039.283203,0.000000,205653.906250,1624605563192452
52665.375000,0.000000,108472.156250,21039.285156,0.000000,205653.921875,1624605563193637
52665.375000,0.000000,108472.164062,21039.287109,0.000000,205653.937500,1624605563194824
52665.375000,0.000000,108472.179688,21039.289062,0.000000,205653.968750,1624605563196011
52665.375000,0.000000,108472.195312,21039.291016,0.000000,205653.984375,1624605563197199
52665.375000,0.000000,108472.203125,21039.292969,0.000000,205654.000000,1624605563198384
52665.375000,0.000000,108472.210938,21039.294922,0.000000,205654.015625,1624605563199564
