dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
57865.230469,0.000000,2663.464600,47511.992188,0.000000,173547.015625,1624731462701870
57865.234375,0.000000,2663.483643,47512.000000,0.000000,173547.046875,1624731462702982
57865.238281,0.000000,2663.502686,47512.003906,0.000000,173547.062500,1624731462704085
57865.238281,0.000000,2663.519531,47512.007812,0.000000,173547.078125,1624731462705179
57865.242188,0.000000,2663.537842,47512.011719,0.000000,173547.109375,1624731462706270
57865.246094,0.000000,2663.558594,47512.015625,0.000000,173547.125000,1624731462707365
57865.246094,0.000000,2663.580566,47512.019531,0.000000,173547.156250,1624731462708461
57865.250000,0.000000,2663.600586,47512.023438,0.000000,173547.171875,1624731462709557
57865.253906,0.000000,2663.619141,47512.027344,0.000000,173547.203125,1624731462710663
57865.253906,0.000000,2663.639648,47512.035156,0.000000,173547.234375,1624731462711760
57865.257812,0.000000,2663.676270,47512.039062,0.000000,173547.265625,1624731462712880
57865.261719,0.000000,2663.697754,47512.042969,0.000000,173547.296875,1624731462713973
57865.261719,0.000000,2663.715576,47512.046875,0.000000,173547.312500,1624731462715077
57865.332031,0.000000,2663.968262,47512.121094,0.000000,173547.750000,1624731462732847
57865.335938,0.000000,2663.995361,47512.125000,0.000000,173547.765625,1624731462733936
57865.335938,0.000000,2664.009277,47512.125000,0.000000,173547.796875,1624731462735021
57865.335938,0.000000,2664.021484,47512.125000,0.000000,173547.812500,1624731462736106
57865.335938,0.000000,2664.035156,47512.128906,0.000000,173547.843750,1624731462737191
57865.335938,0.000000,2664.047119,47512.128906,0.000000,173547.859375,1624731462738276
57865.335938,0.000000,2664.059814,47512.132812,0.000000,173547.890625,1624731462739362
57865.335938,0.000000,2664.072266,47512.132812,0.000000,173547.906250,1624731462740448
57865.335938,0.000000,2664.085693,47512.136719,0.000000,173547.937500,1624731462741532
57865.335938,0.000000,2664.097168,47512.136719,0.000000,173547.953125,1624731462742646
57865.335938,0.000000,2664.110107,47512.140625,0.000000,173547.984375,1624731462743777
57865.335938,0.000000,2664.124023,47512.148438,0.000000,173548.015625,1624731462744905
57865.339844,0.000000,2664.165527,47512.152344,0.000000,173548.046875,1624731462746015
57865.339844,0.000000,2664.186768,47512.156250,0.000000,173548.062500,1624731462747128
