dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
54831.972656,0.000000,63241.582031,57307.554688,0.000000,1970.831299,1624627486391752
54831.972656,0.000000,63241.589844,57307.554688,0.000000,1970.844727,1624627486393031
54831.972656,0.000000,63241.597656,57307.554688,0.000000,1970.858887,1624627486394314
54831.972656,0.000000,63241.609375,57307.554688,0.000000,1970.885010,1624627486395599
54831.972656,0.000000,63241.617188,57307.554688,0.000000,1970.899414,1624627486396872
54831.972656,0.000000,63241.625000,57307.554688,0.000000,1970.912354,1624627486398153
54831.972656,0.000000,63241.628906,57307.554688,0.000000,1970.926392,1624627486399432
54831.972656,0.000000,63241.636719,57307.554688,0.000000,1970.940918,1624627486400740
54831.972656,0.000000,63241.644531,57307.554688,0.000000,1970.968140,1624627486402028
54831.972656,0.000000,63241.660156,57307.554688,0.000000,1970.981323,1624627486403308
54831.972656,0.000000,63241.667969,57307.554688,0.000000,1971.000488,1624627486404588
54831.972656,0.000000,63241.675781,57307.554688,0.000000,1971.013672,1624627486405858
54831.972656,0.000000,63241.679688,57307.554688,0.000000,1971.027710,1624627486407119
54831.972656,0.000000,63241.691406,57307.554688,0.000000,1971.043823,1624627486408426
54831.972656,0.000000,63241.695312,57307.554688,0.000000,1971.058350,1624627486409711
54831.972656,0.000000,63241.703125,57307.554688,0.000000,1971.072510,1624627486410972
54831.972656,0.000000,63241.714844,57307.554688,0.000000,1971.098389,1624627486412260
54831.972656,0.000000,63241.722656,57307.554688,0.000000,1971.112793,1624627486413551
54831.972656,0.000000,63241.730469,57307.554688,0.000000,1971.124756,1624627486414791
54831.972656,0.000000,63241.738281,57307.554688,0.000000,1971.138428,1624627486416063
54831.976562,0.000000,63241.746094,57307.558594,0.000000,1971.153320,1624627486417335
54831.976562,0.000000,63241.769531,57307.558594,0.000000,1971.182129,1624627486418607
54831.976562,0.000000,63241.781250,57307.562500,0.000000,1971.196777,1624627486419897
54831.976562,0.000000,63241.789062,57307.562500,0.000000,1971.210571,1624627486421167
54831.976562,0.000000,63241.800781,57307.562500,0.000000,1971.223877,1624627486422439
54831.976562,0.000000,63241.820312,57307.562500,0.000000,1971.253174,1624627486423711
54831.976562,0.000000,63241.832031,57307.562500,0.000000,1971.267090,1624627486424981
54831.976562,0.000000,63241.839844,57307.562500,0.000000,1971.281494,1624627486426251
54831.976562,0.000000,63241.863281,57307.562500,0.000000,1971.308838,1624627486427523
54831.976562,0.000000,63241.875000,57307.566406,0.000000,1971.324463,1624627486428793
54831.976562,0.000000,63241.886719,57307.566406,0.000000,1971.342773,1624627486430033
